Unnamed: 0,department,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
74,1,2,1,2,1,50,3,14,0,0,52,0
75,1,1,1,1,1,38,4,2,1,0,49,1
76,1,2,1,1,2,29,1,5,0,0,51,0
77,1,2,1,1,1,35,4,3,1,0,53,0
78,4,2,1,2,1,25,3,2,1,0,91,0
79,1,2,1,1,1,30,3,3,0,0,58,1
80,3,2,1,3,1,47,3,7,0,0,79,0
81,2,1,1,1,1,35,2,7,0,0,53,0
82,1,2,1,1,2,25,3,2,0,0,53,0
83,5,2,1,2,1,36,4,8,0,0,82,0
84,8,2,1,2,1,29,3,1,0,0,65,1
85,2,1,2,1,1,42,5,11,1,0,60,1
86,7,2,2,1,1,28,2,6,0,0,52,0
87,1,2,1,1,1,39,1,9,0,0,49,0
88,5,1,1,1,1,32,5,3,1,0,69,1
89,1,2,2,2,1,31,3,1,0,0,51,0
90,1,2,2,1,1,20,3,1,0,0,55,0
91,4,2,1,2,1,34,3,8,0,0,85,0
92,5,1,1,1,2,46,4,3,1,0,74,0
93,7,1,1,2,1,47,3,7,0,0,44,0
94,2,2,2,2,1,44,4,13,0,0,53,0
95,4,2,1,1,1,31,4,4,1,0,86,0
96,3,2,2,1,1,23,3,1,0,0,77,0
97,2,2,2,1,1,33,3,5,0,0,57,0
98,1,2,1,2,1,41,3,12,1,0,52,0
99,6,1,1,2,1,60,5,17,0,0,59,0
100,2,2,1,2,1,31,5,4,1,0,63,1
101,2,2,2,2,1,37,3,11,0,0,57,0
102,4,2,1,1,2,39,3,4,1,0,83,0
103,1,2,1,2,1,40,5,8,1,0,54,0
104,1,1,1,1,1,42,5,4,0,0,50,0
105,2,2,1,2,1,35,4,6,1,0,57,1
106,2,1,2,1,1,41,4,6,1,0,62,0
107,5,2,2,2,1,23,3,2,0,0,73,0
108,1,2,1,1,2,31,3,4,0,0,50,0
109,4,1,1,2,1,42,2,19,0,0,79,0
110,1,2,1,2,3,29,4,2,0,0,49,0
111,7,2,2,2,1,30,3,1,1,0,54,0
112,2,2,1,1,1,41,4,6,1,0,63,0
113,1,2,2,2,1,40,3,2,1,0,90,1
114,1,2,1,3,1,34,5,5,0,0,49,0
115,1,2,2,2,1,31,4,2,0,0,46,0
116,3,2,1,2,1,27,5,2,0,0,86,1
117,5,2,1,1,4,30,3,2,0,0,72,0
118,5,2,2,2,1,27,4,4,1,0,72,1
119,3,2,1,2,4,36,4,7,0,0,82,0
120,3,2,1,1,1,35,4,6,0,0,77,0
121,1,1,1,2,1,34,5,7,1,0,51,1
122,5,1,1,1,1,37,5,3,0,1,92,1
123,2,2,2,1,1,27,3,1,1,0,58,0
124,5,1,1,1,2,47,3,5,1,0,71,0
125,4,2,1,2,1,28,3,1,1,0,83,0
126,5,1,2,2,1,40,5,5,0,0,68,0
127,1,2,2,2,1,30,3,1,0,0,50,0
128,2,1,1,2,1,38,5,9,1,0,61,0
129,1,2,1,2,1,30,3,2,0,0,47,0
130,1,2,2,1,1,28,5,3,0,0,46,0
131,5,2,1,1,2,28,5,4,1,0,67,0
132,2,2,1,1,1,35,4,7,0,0,58,0
133,4,2,1,2,1,32,3,8,0,0,89,1
134,1,1,1,1,1,36,5,8,0,0,50,0
135,2,2,1,1,1,24,3,1,1,0,56,0
136,3,2,1,2,1,27,3,4,1,0,78,0
137,6,1,1,2,2,34,3,7,0,0,56,0
138,3,2,2,2,1,31,4,4,1,1,78,0
139,3,2,2,1,1,30,4,2,0,0,77,0
140,3,2,2,2,2,30,3,7,1,1,76,0
141,6,2,1,1,1,31,3,1,1,0,56,0
142,4,2,1,2,1,30,5,3,1,0,84,0
143,6,2,1,1,1,28,3,2,0,0,57,0
144,3,2,1,2,2,28,3,5,0,0,81,0
145,1,2,1,2,1,29,3,2,0,0,51,0
146,1,1,1,1,1,46,3,11,1,0,51,0
147,3,2,1,1,1,31,5,4,1,0,80,0
148,5,2,1,1,1,28,1,4,0,0,72,0
149,1,1,1,2,1,31,4,6,0,0,50,0
150,7,1,2,2,1,37,3,9,0,0,48,0
151,3,2,2,2,2,34,5,8,0,0,88,1
152,5,2,1,1,1,25,5,3,1,0,70,1
153,2,1,1,1,1,40,4,4,1,0,57,0
154,2,1,1,2,1,43,3,7,1,0,56,1
155,2,2,1,2,1,36,1,5,0,0,56,0
156,8,2,1,1,1,29,3,3,0,0,63,0
157,6,2,1,1,2,35,3,2,0,0,56,0
158,4,1,1,2,1,34,5,2,0,0,84,0
159,1,2,2,1,1,32,4,4,1,0,45,0
160,7,2,1,2,1,27,3,1,1,0,50,0
161,3,2,1,1,1,29,3,5,0,0,75,0
162,1,2,1,1,1,34,1,4,0,0,48,0
163,5,1,1,1,1,37,5,7,1,0,70,0
164,5,2,2,2,1,33,3,3,1,0,73,0
165,5,1,2,2,1,33,5,4,1,0,67,0
166,1,2,2,2,1,39,1,8,0,0,45,0
167,3,1,1,2,1,34,4,7,0,0,82,0
168,3,2,1,2,2,32,4,6,0,0,84,0
169,1,1,1,2,1,34,4,6,0,0,53,0
170,6,2,1,2,1,29,5,6,1,0,61,0
171,1,2,1,1,2,28,1,2,0,0,50,0
172,3,2,2,2,1,28,2,5,0,0,75,0
173,5,1,2,2,2,35,3,9,0,0,70,0
174,3,2,2,2,2,40,3,3,0,0,86,0
175,1,2,2,2,2,27,2,4,0,0,54,0
176,5,2,2,2,3,26,3,3,1,0,70,0
177,2,2,1,1,1,43,2,12,0,0,57,0
178,6,2,1,2,1,23,3,1,0,0,61,0
179,4,2,1,1,1,29,5,6,1,0,84,0
180,1,2,1,1,1,43,3,15,0,0,51,0
181,1,2,1,1,3,27,4,4,0,0,49,0
182,5,2,1,1,1,26,4,4,1,0,70,0
183,5,2,2,2,1,31,5,5,1,0,72,0
184,2,2,1,2,1,40,4,11,0,0,58,0
185,2,2,2,2,2,39,5,12,1,0,55,0
186,2,2,2,2,2,30,3,6,0,0,57,0
187,3,1,1,2,1,47,4,4,1,0,77,0
188,1,2,1,2,1,34,4,7,1,0,48,1
189,2,2,2,2,1,33,4,9,0,0,64,0
190,1,1,1,2,1,41,5,7,0,0,51,0
191,3,2,1,2,1,29,1,4,0,0,80,0
192,4,2,2,2,1,32,3,4,0,0,86,0
193,5,1,2,2,1,47,5,9,0,0,68,0
194,2,2,1,2,1,35,4,3,0,0,65,0
195,3,2,1,2,1,27,4,2,0,0,75,0
196,4,2,1,2,1,29,1,3,0,0,81,0
197,1,2,1,1,2,36,3,9,0,0,49,0
198,1,2,1,2,2,35,1,8,0,0,39,0
199,5,2,2,1,2,34,3,2,0,0,70,0
200,1,1,2,1,1,34,4,5,1,1,94,1
201,2,1,1,1,1,39,3,2,1,0,60,0
202,1,2,1,2,1,26,5,2,1,0,51,0
203,2,2,2,1,1,30,5,4,0,0,56,0
204,2,2,2,2,1,31,4,2,0,0,62,0
205,7,1,1,1,1,44,5,6,0,0,48,0
206,1,2,1,2,1,38,3,4,1,0,49,0
207,3,2,1,2,1,40,1,3,0,0,78,0
208,8,1,1,1,1,50,5,6,0,1,58,0
209,5,1,1,2,1,44,3,12,0,0,70,0
210,5,3,2,2,1,23,1,2,0,0,69,0
211,1,1,2,1,1,36,1,2,0,0,53,0
212,4,2,1,1,1,25,1,4,0,0,80,0
213,2,2,1,1,1,34,5,4,1,0,58,0
214,4,2,1,1,1,28,3,1,0,0,85,0
215,4,2,1,2,2,30,5,6,1,0,81,0
216,5,2,1,1,1,35,1,8,0,0,67,0
217,4,2,1,1,1,33,4,8,0,0,86,0
218,4,1,1,2,1,30,3,4,1,0,80,0
219,4,2,1,2,2,27,5,3,1,0,85,0
220,5,2,1,2,4,29,3,1,0,0,68,0
221,2,2,1,1,1,43,3,3,0,0,58,0
222,4,2,1,2,2,28,3,5,1,0,86,0
223,5,2,1,2,1,31,5,3,1,0,68,0
224,2,2,2,2,1,43,4,12,0,0,58,0
225,2,2,2,2,1,35,5,9,1,0,60,0
226,1,2,1,2,2,35,3,9,0,0,49,0
227,2,1,1,2,1,50,3,8,1,0,59,0
228,7,2,2,2,1,26,4,3,0,0,50,0
229,1,2,1,1,1,32,3,5,1,0,52,0
230,2,1,2,2,1,38,5,2,1,1,93,1
231,1,2,1,2,1,22,4,2,0,0,51,0
232,7,2,1,2,1,28,3,1,1,0,52,0
233,5,2,2,1,1,37,3,9,0,0,69,0
234,4,2,1,1,2,54,3,9,1,0,86,0
235,1,2,1,1,1,36,3,8,0,0,51,0
236,3,2,1,2,1,35,3,8,0,0,78,0
237,4,2,1,2,1,39,3,4,1,0,85,0
238,2,2,2,1,1,31,5,4,1,0,63,0
239,2,2,1,2,2,38,3,7,1,1,60,0
240,1,2,1,1,1,28,1,2,0,0,48,0
241,1,2,1,1,3,26,2,3,0,0,52,0
242,1,2,1,1,1,29,3,1,0,0,54,0
243,4,2,1,1,1,30,3,4,0,0,84,0
244,2,2,1,1,2,37,2,4,1,0,57,1
245,5,2,1,2,1,25,3,1,1,0,76,0
246,3,2,1,3,1,26,4,2,0,0,82,0
247,3,2,1,2,1,31,4,4,0,0,78,0
248,3,2,2,2,1,38,5,7,1,0,82,0
249,1,2,1,2,1,39,4,9,0,0,49,0
250,1,2,1,2,1,30,5,4,0,1,50,0
251,5,1,2,2,1,34,5,8,1,0,67,0
252,5,1,2,2,1,33,3,5,1,0,72,0
253,3,2,2,2,1,29,5,3,1,0,78,0
254,2,2,1,1,1,28,4,2,1,0,61,0
255,6,2,1,1,1,24,3,1,0,0,56,0
256,4,2,1,2,2,26,4,2,1,0,87,0
257,8,2,1,1,1,34,5,4,0,0,64,0
258,1,2,1,1,1,35,3,7,0,0,46,0
259,3,1,1,2,1,43,3,14,0,0,79,0
260,1,2,1,2,1,34,1,8,0,0,39,0
261,3,1,2,2,2,38,3,10,0,0,88,0
262,2,2,2,2,1,34,1,5,0,0,54,0
263,2,2,1,1,1,41,4,4,0,0,63,0
264,6,2,1,1,2,29,1,4,0,0,61,0
265,2,2,1,2,1,33,4,3,0,0,61,0
266,1,1,2,2,1,41,4,5,1,0,48,0
267,2,1,1,2,3,38,3,11,0,0,57,0
268,5,1,2,2,2,54,4,23,0,0,66,0
269,1,1,2,1,2,34,2,8,0,0,49,0
270,5,2,1,2,2,26,5,3,1,0,87,0
271,2,2,2,1,1,35,5,3,0,0,59,0
272,8,3,1,2,1,28,3,1,0,0,62,0
273,2,1,1,2,1,36,3,4,0,0,60,0
274,3,2,1,2,1,45,3,15,0,0,87,0
275,5,1,1,2,1,38,4,7,0,0,66,0
276,1,2,2,2,1,26,2,4,0,0,47,0
277,4,2,1,1,1,31,3,4,0,0,85,0
278,4,2,1,1,1,32,3,7,0,0,87,0
279,4,2,1,1,1,29,4,4,0,0,78,0
280,1,2,2,2,1,40,3,12,0,0,50,0
281,3,2,1,3,2,29,4,6,0,0,75,0
282,4,2,1,2,2,31,5,7,1,0,87,0
283,6,2,1,2,1,32,5,6,1,0,58,0
284,2,2,1,2,1,42,5,11,0,0,67,0
285,5,2,2,1,1,30,5,3,1,0,65,0
286,5,2,2,2,1,24,3,2,1,0,70,0
287,1,2,1,1,1,35,3,7,0,0,56,0
288,3,2,2,1,2,32,1,3,0,0,80,0
289,7,2,2,1,1,22,3,2,0,0,47,0
290,1,2,1,1,2,44,5,14,0,0,48,0
291,2,2,1,2,2,39,3,9,0,0,58,0
292,3,2,2,2,1,46,4,17,0,0,85,0
293,3,2,1,2,1,29,2,5,0,0,77,0
294,6,2,1,2,1,26,1,3,0,0,59,0
295,2,2,1,2,1,35,4,5,0,0,61,0
296,5,2,2,2,1,29,4,2,1,0,95,1
297,3,2,1,1,1,30,2,9,0,0,79,0
298,1,2,1,2,1,45,4,5,0,0,50,0
299,1,2,2,2,1,30,1,6,0,0,47,0
300,6,2,1,1,1,28,2,4,0,0,59,0
301,3,1,1,1,1,46,5,10,1,0,76,0
302,5,2,1,1,1,27,2,2,0,0,69,0
303,1,2,1,1,1,34,2,5,0,0,47,0
304,4,2,1,1,2,32,5,3,1,0,86,0
305,2,2,2,2,1,35,5,10,0,0,63,0
306,5,2,1,2,1,36,4,3,1,0,66,0
307,5,1,2,2,1,58,1,13,0,0,70,0
308,6,2,1,2,1,29,4,4,0,0,57,0
309,5,2,2,3,1,33,3,3,1,0,67,0
310,2,2,2,2,1,32,5,6,0,0,62,0
311,8,3,1,2,1,25,5,2,1,0,59,0
312,5,2,1,2,4,41,2,9,0,0,68,0
313,5,2,2,2,1,25,3,1,1,0,69,0
314,4,1,1,2,1,50,1,7,0,1,79,0
315,1,2,1,2,1,30,1,7,0,0,53,0
316,3,2,1,1,1,28,3,1,0,0,81,0
317,4,1,1,2,1,40,5,5,0,1,83,1
318,6,3,2,2,1,26,3,2,0,0,61,0
319,3,2,1,2,1,35,5,8,1,0,81,0
320,1,1,1,2,1,37,3,7,1,0,52,0
321,2,1,1,2,1,34,3,3,0,0,75,1
322,2,2,1,1,1,25,3,2,0,0,57,0
323,1,2,1,2,1,22,5,2,0,0,62,1
324,5,2,2,2,2,26,5,2,1,0,68,1
325,3,2,2,2,1,31,4,7,1,0,80,0
326,6,2,1,1,4,31,5,3,1,0,60,0
327,4,2,1,1,1,32,3,6,1,0,86,0
328,1,2,1,1,1,36,5,8,0,0,48,0
329,3,2,2,1,1,57,3,19,0,0,81,0
330,1,2,2,1,1,42,4,9,0,0,51,0
331,1,2,1,2,1,28,3,3,0,0,48,0
332,4,2,1,1,2,33,4,3,1,0,86,0
333,4,2,1,1,1,41,3,3,0,0,86,0
334,2,3,1,2,2,26,3,1,0,0,61,0
335,5,2,2,2,1,32,5,5,0,1,84,1
336,2,2,1,2,1,48,3,8,0,0,57,0
337,2,1,1,2,1,41,3,7,0,0,58,0
338,3,1,1,2,1,31,5,4,1,0,82,0
339,1,2,1,2,1,37,4,5,0,0,54,0
340,4,2,1,2,1,30,1,4,0,0,84,0
341,6,3,1,2,1,26,5,2,1,0,60,0
342,1,2,1,1,1,44,5,11,0,0,42,0
343,2,2,2,1,1,44,3,10,0,0,60,0
344,5,1,1,2,1,30,4,2,1,0,96,1
345,2,3,1,2,1,24,3,2,0,0,59,0
346,1,2,1,2,1,40,1,10,0,0,49,0
347,3,1,1,2,1,32,3,5,0,0,80,0
348,1,2,1,1,1,40,5,7,0,0,53,0
349,3,3,2,2,2,24,4,3,1,0,78,0
350,1,2,1,2,1,45,4,15,0,0,64,1
351,1,2,2,2,1,34,5,5,0,0,60,1
352,2,2,2,2,1,58,4,18,1,0,60,0
353,3,2,1,1,1,35,3,7,0,0,82,0
354,1,2,1,2,1,24,4,2,0,0,51,0
355,1,2,1,2,1,35,2,8,0,0,48,0
356,3,2,1,1,1,31,1,2,0,0,81,0
357,2,2,1,2,1,33,3,5,0,0,60,0
358,7,1,2,1,1,44,3,14,0,0,47,0
359,1,2,1,2,1,24,2,2,1,0,52,1
360,5,2,1,2,2,34,2,10,0,0,69,0
361,1,2,1,1,1,37,5,2,0,0,54,0
362,2,2,1,2,2,31,3,4,0,0,63,0
363,5,2,1,2,1,32,3,8,0,0,69,0
364,2,2,2,2,1,33,5,7,1,0,57,0
365,2,2,2,1,1,53,3,11,0,0,57,0
366,2,2,1,1,2,37,5,4,1,0,57,0
367,1,2,1,1,1,30,2,5,0,0,49,0
368,4,2,1,1,1,35,5,3,1,0,81,0
369,3,2,1,1,1,32,3,4,0,0,80,0
370,2,2,1,1,1,45,3,9,0,0,61,0
371,5,2,1,2,1,29,3,1,0,0,69,0
372,1,2,1,1,2,31,3,4,0,0,53,0
373,3,2,1,1,2,34,3,8,0,0,80,0
374,4,2,2,2,1,24,3,1,1,0,86,0
375,2,1,2,2,1,31,5,7,1,0,59,0
376,1,1,2,2,1,37,3,6,1,0,47,0
377,1,1,1,2,1,42,3,12,0,0,48,0
378,5,1,1,2,1,40,3,6,0,0,72,0
379,2,2,1,1,1,37,5,5,1,0,64,0
380,2,2,1,2,1,50,3,8,0,0,57,0
381,2,2,1,2,1,28,3,1,0,0,61,0
382,7,1,2,3,1,57,3,13,0,0,53,0
383,1,1,1,2,2,42,2,10,0,0,46,0
384,2,1,1,1,1,34,3,8,0,0,61,0
385,2,2,2,1,1,34,5,8,1,0,54,0
386,2,2,1,2,1,29,3,1,0,0,62,0
387,2,1,2,3,1,32,4,7,1,0,59,0
388,2,2,2,1,1,27,5,2,0,0,61,0
389,4,2,1,2,3,30,3,1,1,0,83,0
390,3,1,1,2,1,46,3,17,0,0,83,0
391,1,1,1,2,1,37,3,10,1,0,49,1
392,1,2,2,1,1,48,4,13,0,0,52,0
393,3,2,1,2,1,40,5,12,1,0,84,0
394,3,2,1,2,1,32,3,6,0,0,73,0
395,1,2,1,2,1,33,1,7,0,0,48,0
396,5,2,2,2,1,35,3,6,0,0,66,0
397,1,2,1,1,1,23,3,2,0,0,51,0
398,4,1,1,2,1,32,3,4,0,0,86,0
399,2,2,1,1,4,31,3,6,0,0,59,0
400,2,2,2,2,1,40,4,13,0,0,60,0
401,5,1,1,2,1,43,2,7,0,0,70,0
402,2,1,1,2,1,38,3,6,0,0,60,0
403,1,2,1,2,1,36,5,8,0,0,49,0
404,5,1,1,2,1,49,5,20,1,0,65,0
405,1,2,2,1,1,32,1,4,0,0,50,0
406,4,2,1,2,2,26,3,2,0,0,91,0
407,4,2,1,1,1,55,3,18,0,0,87,0
408,7,1,2,2,1,35,3,5,0,0,50,0
409,2,1,2,2,1,36,4,6,1,0,59,0
410,1,2,1,2,1,29,5,4,1,0,45,0
411,5,2,1,2,1,46,3,19,1,0,72,0
412,5,2,1,1,2,30,3,4,0,0,84,0
413,1,2,1,2,1,51,5,19,0,0,40,0
414,1,1,1,2,1,37,3,7,0,0,54,0
415,4,2,1,2,1,27,3,2,0,0,88,0
416,1,2,1,2,1,43,1,4,0,0,49,0
417,7,2,2,2,1,31,3,7,0,0,51,0
418,2,1,2,1,2,38,4,9,1,0,65,0
419,1,1,2,2,1,43,1,10,0,0,45,0
420,3,2,1,1,3,29,3,4,0,0,81,0
421,3,1,2,1,1,30,3,2,0,0,79,0
422,7,2,2,2,1,49,5,22,1,0,50,0
423,4,1,1,2,1,49,4,5,0,0,90,0
424,1,1,1,1,1,36,2,5,0,0,48,0
425,5,1,1,1,1,33,1,3,0,0,71,0
426,1,1,1,2,3,52,3,25,0,0,49,0
427,1,2,2,2,1,29,3,1,0,0,53,0
428,2,2,1,2,1,37,3,11,0,0,56,0
429,6,3,1,2,1,25,3,3,0,0,61,0
430,7,3,1,1,1,24,3,1,1,0,52,0
431,3,1,2,3,1,37,4,13,0,0,79,0
432,2,2,1,2,1,35,5,10,1,0,59,1
433,3,2,2,2,1,33,3,4,1,0,76,1
434,5,2,2,1,1,33,5,9,1,0,71,0
435,3,2,2,2,1,59,3,28,0,0,78,0
436,4,2,1,1,1,29,3,1,0,0,88,0
437,2,2,2,2,1,38,2,8,0,0,59,0
438,2,2,1,1,1,48,4,13,0,0,57,0
439,8,2,1,2,1,31,3,1,1,0,62,0
440,3,1,2,1,1,32,1,5,0,0,77,0
441,5,2,1,2,3,24,3,2,0,0,63,0
442,3,1,1,1,2,37,5,5,1,0,77,0
443,1,2,2,1,1,32,5,8,1,0,46,1
444,1,2,1,2,1,31,3,2,0,0,48,0
445,2,2,1,1,2,45,3,5,1,1,61,0
446,1,2,1,2,1,57,5,6,0,0,45,0
447,2,1,1,2,2,39,2,8,0,0,59,0
448,5,1,1,1,1,42,1,4,0,0,70,0
449,2,2,2,2,1,45,3,4,0,1,65,1
450,2,1,1,1,1,41,3,3,1,0,61,0
451,3,1,2,1,1,41,1,11,0,0,74,0
452,1,1,1,1,1,34,1,7,0,0,50,0
453,1,2,1,1,1,47,5,18,0,0,52,0
454,1,1,1,1,1,33,5,7,1,0,51,0
455,2,1,2,1,1,48,3,15,0,0,69,1
456,2,2,1,2,1,34,4,3,0,0,60,0
457,1,1,1,2,1,35,5,4,1,0,47,0
458,4,1,1,1,1,35,5,4,1,0,84,0
459,3,2,2,1,2,26,3,2,0,0,79,0
460,1,1,1,1,1,45,3,17,0,0,49,0
461,1,1,2,1,1,31,3,1,0,0,54,0
462,1,2,1,1,1,30,5,7,0,0,49,0
463,1,2,1,1,1,46,1,5,0,0,50,0
464,2,2,2,2,1,60,5,4,1,0,56,0
465,2,2,1,2,1,44,5,11,1,0,55,0
466,3,1,1,1,3,35,3,3,0,0,86,0
467,1,2,1,1,2,33,2,6,0,0,52,0
468,2,2,1,1,1,38,4,8,1,0,55,0
469,3,1,1,1,1,39,3,5,0,0,80,0
470,1,2,1,2,1,30,3,2,0,0,50,0
471,2,2,1,1,1,31,3,1,1,0,65,0
472,1,2,1,1,1,57,4,3,0,0,50,0
473,1,2,2,2,1,34,1,7,0,0,50,0
474,2,2,1,2,1,38,3,4,1,0,66,0
475,1,2,1,2,1,24,3,1,1,0,55,0
476,5,1,1,2,1,45,3,16,0,0,87,1
477,1,1,1,2,1,40,1,11,0,0,53,0
478,5,2,1,2,2,32,3,3,0,0,70,0
479,1,2,2,1,2,29,3,2,0,0,48,0
480,6,2,2,2,1,39,4,11,0,0,59,0
481,4,2,1,1,1,32,3,7,0,0,80,0
482,2,1,1,2,2,57,4,7,1,0,58,0
483,5,2,2,2,1,36,3,4,1,0,72,0
484,1,2,1,2,1,34,1,5,0,0,46,0
485,7,1,2,2,1,33,5,7,1,0,50,0
486,3,1,1,1,1,39,2,4,1,0,81,0
487,6,2,2,1,2,32,4,8,0,0,59,0
488,3,2,1,3,1,31,3,6,0,0,77,0
489,1,2,1,2,1,31,1,7,1,0,52,0
490,5,2,2,2,1,25,3,3,0,0,68,0
491,1,2,2,1,1,43,5,4,1,0,50,0
492,2,2,1,1,1,25,3,1,0,0,65,0
493,5,1,2,2,1,50,1,16,0,0,68,0
494,2,1,1,2,3,32,3,4,1,0,64,1
495,6,2,1,1,1,28,3,2,0,0,59,0
496,1,2,1,2,1,32,1,5,0,0,51,0
497,1,2,1,1,1,34,5,5,0,0,49,0
498,2,2,1,2,1,30,5,4,0,0,55,0
499,2,1,2,1,1,33,5,6,0,0,74,1
500,5,1,1,1,2,46,4,19,1,0,70,0
501,1,2,1,1,1,35,4,10,1,0,50,1
502,2,2,1,2,1,33,5,8,1,0,59,1
503,2,2,1,1,1,30,4,4,0,0,59,0
504,5,2,1,1,2,33,5,4,1,0,71,0
505,1,2,1,2,1,28,4,5,0,0,52,0
506,3,1,1,2,1,38,3,8,0,0,84,0
507,1,2,2,1,1,34,2,7,1,0,49,1
508,1,2,2,2,2,40,3,1,1,0,51,0
509,5,2,2,1,2,30,3,5,0,0,73,0
510,2,2,2,1,1,29,2,7,0,0,60,0
511,5,2,1,1,1,30,3,3,0,0,83,0
512,1,2,1,1,1,38,4,10,0,0,50,0
513,2,2,1,2,3,40,3,11,0,0,60,0
514,4,2,2,2,1,29,4,5,0,0,86,0
515,7,1,2,1,1,53,4,25,0,0,47,0
516,1,2,2,1,1,26,3,2,0,0,49,0
517,4,2,1,2,2,28,3,1,0,0,82,0
518,4,1,1,1,1,26,3,1,1,0,84,0
519,5,2,1,2,1,28,3,4,0,0,65,0
520,7,2,2,1,1,30,3,3,0,0,51,0
521,2,1,1,2,1,59,4,4,1,0,56,0
522,5,2,2,2,1,29,3,1,1,0,86,0
523,3,2,1,1,1,31,3,4,0,0,83,0
524,5,2,2,2,1,26,3,2,0,0,69,0
525,2,1,2,1,1,37,3,10,0,0,62,0
526,2,2,2,1,1,25,3,1,0,0,62,0
527,3,2,1,2,1,27,2,3,1,0,78,0
528,2,1,1,1,1,39,4,10,0,0,60,0
529,4,2,1,2,1,36,5,3,1,0,91,1
530,5,1,1,2,2,35,5,6,1,0,91,1
531,3,2,2,2,1,28,3,1,0,0,81,0
