,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
110,48785,Sales & Marketing,region_22,Bachelor's,m,other,3,29,4.0,2,0,0,49,0
111,51444,HR,region_13,Bachelor's,f,other,1,30,,1,1,0,54,0
112,75778,Operations,region_2,Bachelor's,m,sourcing,1,41,4.0,6,1,0,63,0
113,14141,Sales & Marketing,region_7,Bachelor's,f,other,1,40,3.0,2,1,0,90,1
114,17894,Sales & Marketing,region_2,Bachelor's,m,referred,1,34,5.0,5,0,0,49,0
115,54380,Sales & Marketing,region_4,Bachelor's,f,other,1,31,4.0,2,0,0,46,0
116,51892,Technology,region_2,Bachelor's,m,other,1,27,5.0,2,0,0,86,1
117,3625,Procurement,region_21,Bachelor's,m,sourcing,4,30,3.0,2,0,0,72,0
118,38771,Procurement,region_23,Bachelor's,f,other,1,27,4.0,4,1,0,72,1
119,18959,Technology,region_15,Bachelor's,m,other,4,36,4.0,7,0,0,82,0
120,21137,Technology,region_2,Bachelor's,m,sourcing,1,35,4.0,6,0,0,77,0
121,26097,Sales & Marketing,region_25,Master's & above,m,other,1,34,5.0,7,1,0,51,1
122,38052,Procurement,region_34,Master's & above,m,sourcing,1,37,5.0,3,0,1,92,1
123,41746,Operations,region_22,Bachelor's,f,sourcing,1,27,,1,1,0,58,0
124,72744,Procurement,region_2,Master's & above,m,sourcing,2,47,3.0,5,1,0,71,0
125,5461,Analytics,region_8,Bachelor's,m,other,1,28,,1,1,0,83,0
126,15227,Procurement,region_27,Master's & above,f,other,1,40,5.0,5,0,0,68,0
127,66874,Sales & Marketing,region_27,Bachelor's,f,other,1,30,,1,0,0,50,0
128,42068,Operations,region_1,Master's & above,m,other,1,38,5.0,9,1,0,61,0
129,54825,Sales & Marketing,region_25,Bachelor's,m,other,1,30,3.0,2,0,0,47,0
130,77709,Sales & Marketing,region_11,Bachelor's,f,sourcing,1,28,5.0,3,0,0,46,0
131,43712,Procurement,region_22,Bachelor's,m,sourcing,2,28,5.0,4,1,0,67,0
132,74783,Operations,region_29,Bachelor's,m,sourcing,1,35,4.0,7,0,0,58,0
133,19318,Analytics,region_22,Bachelor's,m,other,1,32,3.0,8,0,0,89,1
134,12096,Sales & Marketing,region_26,Master's & above,m,sourcing,1,36,5.0,8,0,0,50,0
135,5102,Operations,region_7,Bachelor's,m,sourcing,1,24,,1,1,0,56,0
136,29521,Technology,region_15,Bachelor's,m,other,1,27,3.0,4,1,0,78,0
137,36371,Finance,region_28,Master's & above,m,other,2,34,3.0,7,0,0,56,0
138,51164,Technology,region_14,Bachelor's,f,other,1,31,4.0,4,1,1,78,0
139,17812,Technology,region_27,Bachelor's,f,sourcing,1,30,4.0,2,0,0,77,0
140,7606,Technology,region_29,Bachelor's,f,other,2,30,3.0,7,1,1,76,0
141,50593,Finance,region_23,Bachelor's,m,sourcing,1,31,,1,1,0,56,0
142,73735,Analytics,region_25,Bachelor's,m,other,1,30,5.0,3,1,0,84,0
143,29313,Finance,region_22,Bachelor's,m,sourcing,1,28,3.0,2,0,0,57,0
144,40262,Technology,region_2,Bachelor's,m,other,2,28,3.0,5,0,0,81,0
145,36904,Sales & Marketing,region_15,Bachelor's,m,other,1,29,3.0,2,0,0,51,0
146,62552,Sales & Marketing,region_22,Master's & above,m,sourcing,1,46,3.0,11,1,0,51,0
147,63285,Technology,region_29,Bachelor's,m,sourcing,1,31,5.0,4,1,0,80,0
148,74203,Procurement,region_5,Bachelor's,m,sourcing,1,28,1.0,4,0,0,72,0
149,75344,Sales & Marketing,region_4,Master's & above,m,other,1,31,4.0,6,0,0,50,0
150,74018,HR,region_7,Master's & above,f,other,1,37,3.0,9,0,0,48,0
151,34985,Technology,region_5,Bachelor's,f,other,2,34,5.0,8,0,0,88,1
152,35930,Procurement,region_2,Bachelor's,m,sourcing,1,25,5.0,3,1,0,70,1
153,6708,Operations,region_22,Master's & above,m,sourcing,1,40,4.0,4,1,0,57,0
154,5515,Operations,region_13,Master's & above,m,other,1,43,3.0,7,1,0,56,1
155,53373,Operations,region_13,Bachelor's,m,other,1,36,1.0,5,0,0,56,0
156,69316,Legal,region_29,Bachelor's,m,sourcing,1,29,3.0,3,0,0,63,0
157,41009,Finance,region_13,Bachelor's,m,sourcing,2,35,3.0,2,0,0,56,0
158,50622,Analytics,region_25,Master's & above,m,other,1,34,5.0,2,0,0,84,0
159,30106,Sales & Marketing,region_16,Bachelor's,f,sourcing,1,32,4.0,4,1,0,45,0
160,45157,HR,region_4,Bachelor's,m,other,1,27,,1,1,0,50,0
161,23523,Technology,region_26,Bachelor's,m,sourcing,1,29,3.0,5,0,0,75,0
162,74349,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,34,1.0,4,0,0,48,0
163,70543,Procurement,region_2,Master's & above,m,sourcing,1,37,5.0,7,1,0,70,0
164,42245,Procurement,region_22,Bachelor's,f,other,1,33,3.0,3,1,0,73,0
165,34405,Procurement,region_2,Master's & above,f,other,1,33,5.0,4,1,0,67,0
166,4134,Sales & Marketing,region_16,Bachelor's,f,other,1,39,1.0,8,0,0,45,0
167,23599,Technology,region_23,Master's & above,m,other,1,34,4.0,7,0,0,82,0
168,942,Technology,region_22,Bachelor's,m,other,2,32,4.0,6,0,0,84,0
169,5281,Sales & Marketing,region_7,Master's & above,m,other,1,34,4.0,6,0,0,53,0
170,197,Finance,region_12,Bachelor's,m,other,1,29,5.0,6,1,0,61,0
171,37574,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,28,1.0,2,0,0,50,0
172,26773,Technology,region_7,Bachelor's,f,other,1,28,2.0,5,0,0,75,0
173,70034,Procurement,region_2,Master's & above,f,other,2,35,3.0,9,0,0,70,0
174,40565,Technology,region_2,Bachelor's,f,other,2,40,3.0,3,0,0,86,0
175,17193,Sales & Marketing,region_2,Bachelor's,f,other,2,27,2.0,4,0,0,54,0
176,76550,Procurement,region_22,Bachelor's,f,other,3,26,3.0,3,1,0,70,0
177,53841,Operations,region_2,Bachelor's,m,sourcing,1,43,2.0,12,0,0,57,0
178,28314,Finance,region_26,Bachelor's,m,other,1,23,,1,0,0,61,0
179,30196,Analytics,region_25,Bachelor's,m,sourcing,1,29,5.0,6,1,0,84,0
180,29757,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,43,3.0,15,0,0,51,0
181,6073,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,27,4.0,4,0,0,49,0
182,9863,Procurement,region_27,Bachelor's,m,sourcing,1,26,4.0,4,1,0,70,0
183,34306,Procurement,region_13,Bachelor's,f,other,1,31,5.0,5,1,0,72,0
184,34041,Operations,region_7,Bachelor's,m,other,1,40,4.0,11,0,0,58,0
185,21356,Operations,region_15,Bachelor's,f,other,2,39,5.0,12,1,0,55,0
186,29540,Operations,region_2,Bachelor's,f,other,2,30,3.0,6,0,0,57,0
187,51669,Technology,region_2,Master's & above,m,other,1,47,4.0,4,1,0,77,0
188,33825,Sales & Marketing,region_17,Bachelor's,m,other,1,34,4.0,7,1,0,48,1
189,6254,Operations,region_2,,f,other,1,33,4.0,9,0,0,64,0
190,11645,Sales & Marketing,region_23,Master's & above,m,other,1,41,5.0,7,0,0,51,0
191,3231,Technology,region_7,Bachelor's,m,other,1,29,1.0,4,0,0,80,0
192,7030,Analytics,region_31,Bachelor's,f,other,1,32,3.0,4,0,0,86,0
193,54198,Procurement,region_7,Master's & above,f,other,1,47,5.0,9,0,0,68,0
194,62293,Operations,region_27,Bachelor's,m,other,1,35,4.0,3,0,0,65,0
195,25312,Technology,region_22,Bachelor's,m,other,1,27,4.0,2,0,0,75,0
196,75610,Analytics,region_32,Bachelor's,m,other,1,29,1.0,3,0,0,81,0
197,16518,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,36,3.0,9,0,0,49,0
198,42747,Sales & Marketing,region_15,Bachelor's,m,other,2,35,1.0,8,0,0,39,0
199,67980,Procurement,region_2,Bachelor's,f,sourcing,2,34,3.0,2,0,0,70,0
200,53630,Sales & Marketing,region_23,Master's & above,f,sourcing,1,34,4.0,5,1,1,94,1
201,72423,Operations,region_2,Master's & above,m,sourcing,1,39,3.0,2,1,0,60,0
202,73022,Sales & Marketing,region_25,Bachelor's,m,other,1,26,5.0,2,1,0,51,0
203,63976,Operations,region_31,Bachelor's,f,sourcing,1,30,5.0,4,0,0,56,0
204,60761,Operations,region_16,,f,other,1,31,4.0,2,0,0,62,0
205,57228,HR,region_2,Master's & above,m,sourcing,1,44,5.0,6,0,0,48,0
206,14912,Sales & Marketing,region_1,Bachelor's,m,other,1,38,3.0,4,1,0,49,0
207,22725,Technology,region_26,Bachelor's,m,other,1,40,1.0,3,0,0,78,0
208,18981,Legal,region_2,Master's & above,m,sourcing,1,50,5.0,6,0,1,58,0
209,50845,Procurement,region_19,Master's & above,m,other,1,44,3.0,12,0,0,70,0
210,11800,Procurement,region_2,Below Secondary,f,other,1,23,1.0,2,0,0,69,0
211,16351,Sales & Marketing,region_7,Master's & above,f,sourcing,1,36,1.0,2,0,0,53,0
212,75881,Analytics,region_27,Bachelor's,m,sourcing,1,25,1.0,4,0,0,80,0
213,73200,Operations,region_28,Bachelor's,m,sourcing,1,34,5.0,4,1,0,58,0
214,17833,Analytics,region_4,Bachelor's,m,sourcing,1,28,,1,0,0,85,0
215,58338,Analytics,region_1,Bachelor's,m,other,2,30,5.0,6,1,0,81,0
216,40187,Procurement,region_12,Bachelor's,m,sourcing,1,35,1.0,8,0,0,67,0
217,70193,Analytics,region_6,Bachelor's,m,sourcing,1,33,4.0,8,0,0,86,0
218,27188,Analytics,region_13,Master's & above,m,other,1,30,3.0,4,1,0,80,0
219,24291,Analytics,region_26,Bachelor's,m,other,2,27,5.0,3,1,0,85,0
220,43676,Procurement,region_2,Bachelor's,m,other,4,29,,1,0,0,68,0
221,52231,Operations,region_2,Bachelor's,m,sourcing,1,43,3.0,3,0,0,58,0
222,34241,Analytics,region_22,Bachelor's,m,other,2,28,3.0,5,1,0,86,0
223,76661,Procurement,region_17,Bachelor's,m,other,1,31,5.0,3,1,0,68,0
224,50595,Operations,region_2,Bachelor's,f,other,1,43,4.0,12,0,0,58,0
225,67673,Operations,region_4,Bachelor's,f,other,1,35,5.0,9,1,0,60,0
226,10547,Sales & Marketing,region_5,Bachelor's,m,other,2,35,3.0,9,0,0,49,0
227,73405,Operations,region_2,Master's & above,m,other,1,50,3.0,8,1,0,59,0
228,73114,HR,region_17,Bachelor's,f,other,1,26,4.0,3,0,0,50,0
229,22572,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,3.0,5,1,0,52,0
230,62923,Operations,region_13,Master's & above,f,other,1,38,5.0,2,1,1,93,1
231,57235,Sales & Marketing,region_26,,m,other,1,22,4.0,2,0,0,51,0
232,22300,HR,region_20,Bachelor's,m,other,1,28,,1,1,0,52,0
233,24090,Procurement,region_14,Bachelor's,f,sourcing,1,37,3.0,9,0,0,69,0
234,57298,Analytics,region_2,Bachelor's,m,sourcing,2,54,3.0,9,1,0,86,0
235,25629,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,36,3.0,8,0,0,51,0
236,71339,Technology,region_6,Bachelor's,m,other,1,35,3.0,8,0,0,78,0
237,54714,Analytics,region_29,Bachelor's,m,other,1,39,3.0,4,1,0,85,0
238,7390,Operations,region_12,Bachelor's,f,sourcing,1,31,5.0,4,1,0,63,0
239,9563,Operations,region_31,Bachelor's,m,other,2,38,3.0,7,1,1,60,0
240,39107,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,28,1.0,2,0,0,48,0
241,19445,Sales & Marketing,region_7,Bachelor's,m,sourcing,3,26,2.0,3,0,0,52,0
242,42636,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,29,,1,0,0,54,0
243,32557,Analytics,region_20,Bachelor's,m,sourcing,1,30,3.0,4,0,0,84,0
244,43396,Operations,region_22,Bachelor's,m,sourcing,2,37,2.0,4,1,0,57,1
245,24414,R&D,region_2,,m,other,1,25,,1,1,0,76,0
246,63237,Technology,region_22,Bachelor's,m,referred,1,26,4.0,2,0,0,82,0
247,32838,Technology,region_7,Bachelor's,m,other,1,31,4.0,4,0,0,78,0
248,23003,Technology,region_14,Bachelor's,f,other,1,38,5.0,7,1,0,82,0
249,45198,Sales & Marketing,region_13,Bachelor's,m,other,1,39,4.0,9,0,0,49,0
250,40376,Sales & Marketing,region_4,Bachelor's,m,other,1,30,5.0,4,0,1,50,0
251,60176,Procurement,region_15,Master's & above,f,other,1,34,5.0,8,1,0,67,0
252,67652,Procurement,region_23,Master's & above,f,other,1,33,3.0,5,1,0,72,0
253,15476,Technology,region_2,Bachelor's,f,other,1,29,5.0,3,1,0,78,0
254,55811,Operations,region_2,Bachelor's,m,sourcing,1,28,4.0,2,1,0,61,0
255,15737,Finance,region_22,Bachelor's,m,sourcing,1,24,,1,0,0,56,0
256,10058,Analytics,region_22,Bachelor's,m,other,2,26,4.0,2,1,0,87,0
257,73435,Legal,region_22,Bachelor's,m,sourcing,1,34,5.0,4,0,0,64,0
258,51255,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,35,3.0,7,0,0,46,0
259,70060,Technology,region_13,Master's & above,m,other,1,43,3.0,14,0,0,79,0
260,51473,Sales & Marketing,region_15,Bachelor's,m,other,1,34,1.0,8,0,0,39,0
261,71904,Technology,region_7,Master's & above,f,other,2,38,3.0,10,0,0,88,0
262,76080,Operations,region_7,Bachelor's,f,other,1,34,1.0,5,0,0,54,0
263,33357,Operations,region_22,Bachelor's,m,sourcing,1,41,4.0,4,0,0,63,0
264,53502,Finance,region_7,Bachelor's,m,sourcing,2,29,1.0,4,0,0,61,0
265,26409,Operations,region_2,Bachelor's,m,other,1,33,4.0,3,0,0,61,0
266,59608,Sales & Marketing,region_2,Master's & above,f,other,1,41,4.0,5,1,0,48,0
267,28687,Operations,region_2,Master's & above,m,other,3,38,3.0,11,0,0,57,0
268,34312,Procurement,region_2,Master's & above,f,other,2,54,4.0,23,0,0,66,0
269,11438,Sales & Marketing,region_13,Master's & above,f,sourcing,2,34,2.0,8,0,0,49,0
270,11794,R&D,region_2,Bachelor's,m,other,2,26,5.0,3,1,0,87,0
271,48756,Operations,region_7,Bachelor's,f,sourcing,1,35,5.0,3,0,0,59,0
272,35873,Legal,region_2,Below Secondary,m,other,1,28,,1,0,0,62,0
273,13970,Operations,region_33,Master's & above,m,other,1,36,3.0,4,0,0,60,0
274,49868,Technology,region_5,Bachelor's,m,other,1,45,3.0,15,0,0,87,0
275,25261,Procurement,region_7,Master's & above,m,other,1,38,4.0,7,0,0,66,0
276,44536,Sales & Marketing,region_27,Bachelor's,f,other,1,26,2.0,4,0,0,47,0
277,55550,Analytics,region_27,,m,sourcing,1,31,3.0,4,0,0,85,0
278,27989,Analytics,region_34,Bachelor's,m,sourcing,1,32,3.0,7,0,0,87,0
279,12598,Analytics,region_6,Bachelor's,m,sourcing,1,29,4.0,4,0,0,78,0
280,32877,Sales & Marketing,region_2,Bachelor's,f,other,1,40,3.0,12,0,0,50,0
281,30682,Technology,region_2,Bachelor's,m,referred,2,29,4.0,6,0,0,75,0
282,1829,Analytics,region_28,Bachelor's,m,other,2,31,5.0,7,1,0,87,0
283,2177,Finance,region_16,Bachelor's,m,other,1,32,5.0,6,1,0,58,0
284,51771,Operations,region_17,Bachelor's,m,other,1,42,5.0,11,0,0,67,0
285,26026,Procurement,region_15,Bachelor's,f,sourcing,1,30,5.0,3,1,0,65,0
286,64977,Procurement,region_16,Bachelor's,f,other,1,24,3.0,2,1,0,70,0
287,44585,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,3.0,7,0,0,56,0
288,43562,Technology,region_5,Bachelor's,f,sourcing,2,32,1.0,3,0,0,80,0
289,56287,HR,region_2,Bachelor's,f,sourcing,1,22,3.0,2,0,0,47,0
290,19100,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,44,5.0,14,0,0,48,0
291,58203,Operations,region_16,Bachelor's,m,other,2,39,3.0,9,0,0,58,0
292,12504,Technology,region_7,Bachelor's,f,other,1,46,4.0,17,0,0,85,0
293,49126,Technology,region_15,Bachelor's,m,other,1,29,2.0,5,0,0,77,0
294,66469,Finance,region_7,Bachelor's,m,other,1,26,1.0,3,0,0,59,0
295,53350,Operations,region_23,Bachelor's,m,other,1,35,4.0,5,0,0,61,0
296,22031,Procurement,region_2,Bachelor's,f,other,1,29,4.0,2,1,0,95,1
297,36185,Technology,region_13,Bachelor's,m,sourcing,1,30,2.0,9,0,0,79,0
298,58415,Sales & Marketing,region_7,Bachelor's,m,other,1,45,4.0,5,0,0,50,0
299,71763,Sales & Marketing,region_15,Bachelor's,f,other,1,30,1.0,6,0,0,47,0
300,62742,Finance,region_32,Bachelor's,m,sourcing,1,28,2.0,4,0,0,59,0
301,33619,Technology,region_2,Master's & above,m,sourcing,1,46,5.0,10,1,0,76,0
302,41212,Procurement,region_7,Bachelor's,m,sourcing,1,27,2.0,2,0,0,69,0
303,40204,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,34,2.0,5,0,0,47,0
304,59131,Analytics,region_19,Bachelor's,m,sourcing,2,32,5.0,3,1,0,86,0
305,12559,Operations,region_22,Bachelor's,f,other,1,35,5.0,10,0,0,63,0
306,30433,Procurement,region_27,Bachelor's,m,other,1,36,4.0,3,1,0,66,0
307,13150,Procurement,region_2,Master's & above,f,other,1,58,1.0,13,0,0,70,0
308,9616,Finance,region_31,Bachelor's,m,other,1,29,4.0,4,0,0,57,0
309,26563,Procurement,region_2,Bachelor's,f,referred,1,33,3.0,3,1,0,67,0
310,38331,Operations,region_16,Bachelor's,f,other,1,32,5.0,6,0,0,62,0
311,18651,Legal,region_22,Below Secondary,m,other,1,25,5.0,2,1,0,59,0
312,45004,Procurement,region_13,Bachelor's,m,other,4,41,2.0,9,0,0,68,0
